N,total,pct,total_emp,all_emp_tot,pct_emp,injury_rate_per_100k,industry_name
1028,53602,1.91783888660871,76813535,4028073984,1.90695442300992,1.33830580769392,Utilities
7023,53602,13.1021230551099,603742914,4028073984,14.9883769860767,1.16324346624133,Transportation & Warehousing
1607,53602,2.99802246184844,1262914277,4028073984,31.3528073718718,0.127245374390522,Accomodation & Food Services
14142,53602,26.3833439050782,698214333,4028073984,17.333701808194,2.02545254825068,Construction
1462,53602,2.72751016753106,121717122,4028073984,3.02172011942867,1.20114571884143,"Agriculture, Forestry, Fishing & Hunting"
2257,53602,4.21066378120219,59410101,4028073984,1.47490093866161,3.79901727485702,"Mining, Quarrying, & Oil and Gas Extraction"
26083,53602,48.6604977426216,1205261702,4028073984,29.9215383527573,2.1640943171693,Manufacturing
