state,year,industry_name,total_emp,all_emp_tot,pct_emp
California,2018,Accomodation & Food Services,20406574,61752602,33.045690932990965
California,2018,Construction,10442650,61752602,16.91046152192907
California,2018,"Agriculture, Forestry, Fishing & Hunting",5079053,61752602,8.224840469070436
California,2018,Utilities,1262236,61752602,2.0440207523563134
California,2018,"Mining, Quarrying, & Oil and Gas Extraction",243447,61752602,0.39422954193897775
California,2019,Manufacturing,15869472,62990219,25.193549493771407
California,2019,Transportation & Warehousing,8959198,62990219,14.223157407977896
California,2019,Accomodation & Food Services,20814424,62990219,33.04389845032925
California,2019,Construction,10751016,62990219,17.06775459853537
California,2019,"Agriculture, Forestry, Fishing & Hunting",5079003,62990219,8.063161361607584
California,2019,Utilities,1273134,62990219,2.0211614123773725
California,2019,"Mining, Quarrying, & Oil and Gas Extraction",243972,62990219,0.38731727540112215
California,2020,Manufacturing,15165419,56840443,26.680684033373915
California,2020,Transportation & Warehousing,9275564,56840443,16.31859906510581
California,2020,Accomodation & Food Services,15601403,56840443,27.447715352957403
California,2020,Construction,10391433,56840443,18.281759345190185
California,2020,"Agriculture, Forestry, Fishing & Hunting",4898005,56840443,8.617112642841295
California,2020,Utilities,1298648,56840443,2.2847253319260723
California,2020,"Mining, Quarrying, & Oil and Gas Extraction",209971,56840443,0.36940422860532596
California,2021,Manufacturing,15330731,59594399,25.725120577187127
California,2021,Transportation & Warehousing,9964447,59594399,16.720442134167676
California,2021,Accomodation & Food Services,17139528,59594399,28.760300108068883
California,2021,Construction,10717710,59594399,17.984425012827128
California,2021,"Agriculture, Forestry, Fishing & Hunting",4937013,59594399,8.284357394056444
California,2021,Utilities,1305492,59594399,2.1906286864307503
California,2021,"Mining, Quarrying, & Oil and Gas Extraction",199478,59594399,0.33472608726199254
California,2022,Manufacturing,16029576,64110294,25.003123523345565
California,2022,Transportation & Warehousing,10653868,64110294,16.61803017156652
California,2022,Accomodation & Food Services,19779126,64110294,30.851716262602068
California,2022,Construction,11066820,64110294,17.262157618556547
California,2022,"Agriculture, Forestry, Fishing & Hunting",5038711,64110294,7.859441418253361
California,2022,Utilities,1336363,64110294,2.0844749206734257
California,2022,"Mining, Quarrying, & Oil and Gas Extraction",205830,64110294,0.3210560850025114
Colorado,2015,Manufacturing,1694349,8346769,20.299459587296592
Colorado,2015,Transportation & Warehousing,967351,8346769,11.589526438314035
Colorado,2015,Accomodation & Food Services,3141415,8346769,37.63629974664448
Colorado,2015,Construction,1821117,8346769,21.818226909118966
Colorado,2015,"Agriculture, Forestry, Fishing & Hunting",187483,8346769,2.2461745377163305
Colorado,2015,"Mining, Quarrying, & Oil and Gas Extraction",366599,8346769,4.392106694219045
Colorado,2015,Utilities,168455,8346769,2.0182060866905505
Colorado,2016,Manufacturing,1713185,8496529,20.163351410911446
Colorado,2016,Transportation & Warehousing,983536,8496529,11.575738751671418
Colorado,2016,Accomodation & Food Services,3249817,8496529,38.248760170182436
Colorado,2016,Construction,1899300,8496529,22.353834136269057
Colorado,2016,"Agriculture, Forestry, Fishing & Hunting",197681,8496529,2.32660890111715
Colorado,2016,"Mining, Quarrying, & Oil and Gas Extraction",282898,8496529,3.329571404981964
Colorado,2016,Utilities,170112,8496529,2.0021352248665307
Colorado,2017,Manufacturing,1733253,8791984,19.71401449320199
Colorado,2017,Transportation & Warehousing,1035723,8791984,11.780310337234463
Colorado,2017,Accomodation & Food Services,3334949,8791984,37.931700057688914
Colorado,2017,Construction,1999618,8791984,22.743649215012223
Colorado,2017,"Agriculture, Forestry, Fishing & Hunting",211128,8791984,2.4013692472597765
Colorado,2017,"Mining, Quarrying, & Oil and Gas Extraction",309602,8791984,3.521412231869394
Colorado,2017,Utilities,167711,8791984,1.9075444177332443
Colorado,2018,Manufacturing,1771716,9093400,19.483537510722062
Colorado,2018,Transportation & Warehousing,1090412,9093400,11.991246398486814
Colorado,2018,Accomodation & Food Services,3392284,9093400,37.30490245672686
Colorado,2018,Construction,2114856,9093400,23.257043570061803
Colorado,2018,"Agriculture, Forestry, Fishing & Hunting",217831,9093400,2.3954846372094045
Colorado,2018,"Mining, Quarrying, & Oil and Gas Extraction",338452,9093400,3.7219521851012822
Colorado,2018,Utilities,167849,9093400,1.8458332416917764
Colorado,2019,Manufacturing,1805551,9332624,19.346659631846304
Colorado,2019,Transportation & Warehousing,1159282,9332624,12.421822629948448
Colorado,2019,Accomodation & Food Services,3433156,9332624,36.78661006807946
Colorado,2019,Construction,2183825,9332624,23.39990339265784
Colorado,2019,"Agriculture, Forestry, Fishing & Hunting",237076,9332624,2.540293062272733
Colorado,2019,"Mining, Quarrying, & Oil and Gas Extraction",343630,9332624,3.6820298342674045
Colorado,2019,Utilities,170104,9332624,1.8226813809278077
Colorado,2020,Manufacturing,1761993,8518483,20.684351896928128
Colorado,2020,Transportation & Warehousing,1220173,8518483,14.323829724142199
Colorado,2020,Accomodation & Food Services,2729070,8518483,32.03704227618932
Colorado,2020,Construction,2135153,8518483,25.06494407513638
Colorado,2020,"Agriculture, Forestry, Fishing & Hunting",240784,8518483,2.8266065683291264
Colorado,2020,"Mining, Quarrying, & Oil and Gas Extraction",258811,8518483,3.0382287550494613
Colorado,2020,Utilities,172499,8518483,2.0249967042253885
Colorado,2021,Manufacturing,1788158,8906001,20.078124850873024
Colorado,2021,Transportation & Warehousing,1239512,8906001,13.917716829360337
Colorado,2021,Accomodation & Food Services,3060886,8906001,34.368803686413244
Colorado,2021,Construction,2165305,8906001,24.312876228062404
Colorado,2021,"Agriculture, Forestry, Fishing & Hunting",241419,8906001,2.7107452604148596
Colorado,2021,"Mining, Quarrying, & Oil and Gas Extraction",235768,8906001,2.6472936618803433
Colorado,2021,Utilities,174953,8906001,1.9644394829957914
Colorado,2022,Manufacturing,1840192,9467593,19.436745960668144
Colorado,2022,Transportation & Warehousing,1360268,9467593,14.367622266821146
Colorado,2022,Accomodation & Food Services,3376029,9467593,35.658788881186595
Colorado,2022,Construction,2233992,9467593,23.59619810441788
Colorado,2022,"Agriculture, Forestry, Fishing & Hunting",229615,9467593,2.4252732452694152
Colorado,2022,"Mining, Quarrying, & Oil and Gas Extraction",248195,9467593,2.6215216475824423
Colorado,2022,Utilities,179302,9467593,1.893849894054381
Connecticut,2015,Manufacturing,1910709,4933413,38.72996240128284
Connecticut,2015,Transportation & Warehousing,624408,4933413,12.656714530082928
Connecticut,2015,"Agriculture, Forestry, Fishing & Hunting",58696,4933413,1.1897645706937572
Connecticut,2015,Utilities,92840,4933413,1.881861502371685
Connecticut,2015,Construction,744182,4933413,15.084526675548956
Connecticut,2015,Accomodation & Food Services,1495947,4933413,30.322760328397397
Connecticut,2015,"Mining, Quarrying, & Oil and Gas Extraction",6631,4933413,0.13440999162243258
Connecticut,2016,Manufacturing,1880623,4951477,37.98105090662847
Connecticut,2016,Transportation & Warehousing,636517,4951477,12.855093540775814
Connecticut,2016,"Agriculture, Forestry, Fishing & Hunting",56857,4951477,1.148283633348191
Connecticut,2016,Utilities,92883,4951477,1.8758645147700375
Connecticut,2016,Construction,756829,4951477,15.28491397617317
Connecticut,2016,Accomodation & Food Services,1521096,4951477,30.720045756044108
Connecticut,2016,"Mining, Quarrying, & Oil and Gas Extraction",6672,4951477,0.1347476722602165
Connecticut,2017,Manufacturing,1910380,5004984,38.16955258997831
Connecticut,2017,Transportation & Warehousing,654440,5004984,13.07576607637507
Connecticut,2017,"Agriculture, Forestry, Fishing & Hunting",57209,5004984,1.143040617112862
Connecticut,2017,Utilities,89033,5004984,1.7788868056321456
Connecticut,2017,Construction,746253,5004984,14.910197515116932
Connecticut,2017,Accomodation & Food Services,1541213,5004984,30.793564974433487
Connecticut,2017,"Mining, Quarrying, & Oil and Gas Extraction",6456,5004984,0.12899142135119712
Connecticut,2018,Manufacturing,1929873,5068551,38.075438128175094
Connecticut,2018,Transportation & Warehousing,686717,5068551,13.548586173839428
Connecticut,2018,"Agriculture, Forestry, Fishing & Hunting",56975,5068551,1.1240885215518204
Connecticut,2018,Utilities,87019,5068551,1.7168417561547669
Connecticut,2018,Construction,751043,5068551,14.817706283314502
Connecticut,2018,Accomodation & Food Services,1550637,5068551,30.593299741878894
Connecticut,2018,"Mining, Quarrying, & Oil and Gas Extraction",6287,5068551,0.12403939508549879
Connecticut,2019,Manufacturing,1946759,5128891,37.95672397795157
Connecticut,2019,Transportation & Warehousing,720927,5128891,14.056196553991887
