state,year,industry_name,N,total,pct
MISSOURI,2017,Accomodation & Food Services,9,206,4.36893203883495
MISSOURI,2017,Construction,51,206,24.7572815533981
MISSOURI,2017,Utilities,3,206,1.45631067961165
MISSOURI,2017,"Agriculture, Forestry, Fishing & Hunting",3,206,1.45631067961165
MISSOURI,2018,Manufacturing,148,229,64.6288209606987
MISSOURI,2018,Transportation & Warehousing,26,229,11.353711790393
MISSOURI,2018,Accomodation & Food Services,5,229,2.18340611353712
MISSOURI,2018,Construction,40,229,17.4672489082969
MISSOURI,2018,Utilities,6,229,2.62008733624454
MISSOURI,2018,"Agriculture, Forestry, Fishing & Hunting",4,229,1.74672489082969
MISSOURI,2019,Manufacturing,147,248,59.2741935483871
MISSOURI,2019,Transportation & Warehousing,36,248,14.5161290322581
MISSOURI,2019,"Mining, Quarrying, & Oil and Gas Extraction",1,248,0.403225806451613
MISSOURI,2019,Accomodation & Food Services,10,248,4.03225806451613
MISSOURI,2019,Construction,49,248,19.758064516129
MISSOURI,2019,Utilities,1,248,0.403225806451613
MISSOURI,2019,"Agriculture, Forestry, Fishing & Hunting",4,248,1.61290322580645
MISSOURI,2020,Manufacturing,115,190,60.5263157894737
MISSOURI,2020,Transportation & Warehousing,22,190,11.5789473684211
MISSOURI,2020,Accomodation & Food Services,8,190,4.21052631578947
MISSOURI,2020,Construction,37,190,19.4736842105263
MISSOURI,2020,Utilities,1,190,0.526315789473684
MISSOURI,2020,"Agriculture, Forestry, Fishing & Hunting",7,190,3.68421052631579
MISSOURI,2021,Manufacturing,119,191,62.303664921466
MISSOURI,2021,Transportation & Warehousing,25,191,13.0890052356021
MISSOURI,2021,Accomodation & Food Services,4,191,2.09424083769634
MISSOURI,2021,Construction,36,191,18.848167539267
MISSOURI,2021,Utilities,3,191,1.57068062827225
MISSOURI,2021,"Agriculture, Forestry, Fishing & Hunting",4,191,2.09424083769634
MISSOURI,2022,Manufacturing,84,150,56
MISSOURI,2022,Transportation & Warehousing,27,150,18
MISSOURI,2022,Accomodation & Food Services,6,150,4
MISSOURI,2022,Construction,26,150,17.3333333333333
MISSOURI,2022,Utilities,4,150,2.66666666666667
MISSOURI,2022,"Agriculture, Forestry, Fishing & Hunting",3,150,2
MONTANA,2015,Manufacturing,10,29,34.4827586206897
MONTANA,2015,Transportation & Warehousing,4,29,13.7931034482759
MONTANA,2015,"Mining, Quarrying, & Oil and Gas Extraction",1,29,3.44827586206897
MONTANA,2015,Accomodation & Food Services,1,29,3.44827586206897
MONTANA,2015,Construction,10,29,34.4827586206897
MONTANA,2015,Utilities,2,29,6.89655172413793
MONTANA,2015,"Agriculture, Forestry, Fishing & Hunting",1,29,3.44827586206897
MONTANA,2016,Manufacturing,12,35,34.2857142857143
MONTANA,2016,Transportation & Warehousing,7,35,20
MONTANA,2016,"Mining, Quarrying, & Oil and Gas Extraction",1,35,2.85714285714286
MONTANA,2016,Accomodation & Food Services,3,35,8.57142857142857
MONTANA,2016,Construction,12,35,34.2857142857143
MONTANA,2017,Manufacturing,11,35,31.4285714285714
MONTANA,2017,Transportation & Warehousing,6,35,17.1428571428571
MONTANA,2017,"Mining, Quarrying, & Oil and Gas Extraction",1,35,2.85714285714286
MONTANA,2017,Accomodation & Food Services,4,35,11.4285714285714
MONTANA,2017,Construction,13,35,37.1428571428572
MONTANA,2018,Manufacturing,11,33,33.3333333333333
MONTANA,2018,Transportation & Warehousing,3,33,9.09090909090909
MONTANA,2018,"Mining, Quarrying, & Oil and Gas Extraction",6,33,18.1818181818182
MONTANA,2018,Accomodation & Food Services,2,33,6.06060606060606
MONTANA,2018,Construction,9,33,27.2727272727273
MONTANA,2018,Utilities,1,33,3.03030303030303
MONTANA,2018,"Agriculture, Forestry, Fishing & Hunting",1,33,3.03030303030303
MONTANA,2019,Manufacturing,14,48,29.1666666666667
MONTANA,2019,Transportation & Warehousing,4,48,8.33333333333333
MONTANA,2019,"Mining, Quarrying, & Oil and Gas Extraction",2,48,4.16666666666667
MONTANA,2019,Accomodation & Food Services,2,48,4.16666666666667
MONTANA,2019,Construction,21,48,43.75
MONTANA,2019,"Agriculture, Forestry, Fishing & Hunting",5,48,10.4166666666667
MONTANA,2020,Manufacturing,8,30,26.6666666666667
MONTANA,2020,Transportation & Warehousing,4,30,13.3333333333333
MONTANA,2020,"Mining, Quarrying, & Oil and Gas Extraction",1,30,3.33333333333333
MONTANA,2020,Accomodation & Food Services,2,30,6.66666666666667
MONTANA,2020,Construction,12,30,40
MONTANA,2020,Utilities,1,30,3.33333333333333
MONTANA,2020,"Agriculture, Forestry, Fishing & Hunting",2,30,6.66666666666667
MONTANA,2021,Manufacturing,14,31,45.1612903225806
MONTANA,2021,Transportation & Warehousing,1,31,3.2258064516129
MONTANA,2021,Construction,9,31,29.0322580645161
MONTANA,2021,Utilities,2,31,6.45161290322581
MONTANA,2021,"Agriculture, Forestry, Fishing & Hunting",5,31,16.1290322580645
MONTANA,2022,Manufacturing,4,13,30.7692307692308
MONTANA,2022,Transportation & Warehousing,1,13,7.69230769230769
MONTANA,2022,Accomodation & Food Services,2,13,15.3846153846154
MONTANA,2022,Construction,4,13,30.7692307692308
MONTANA,2022,"Agriculture, Forestry, Fishing & Hunting",2,13,15.3846153846154
NEBRASKA,2015,Manufacturing,64,108,59.2592592592593
NEBRASKA,2015,Transportation & Warehousing,11,108,10.1851851851852
NEBRASKA,2015,"Mining, Quarrying, & Oil and Gas Extraction",2,108,1.85185185185185
NEBRASKA,2015,Accomodation & Food Services,1,108,0.925925925925926
NEBRASKA,2015,Construction,24,108,22.2222222222222
NEBRASKA,2015,"Agriculture, Forestry, Fishing & Hunting",6,108,5.55555555555556
NEBRASKA,2016,Manufacturing,72,128,56.25
NEBRASKA,2016,Transportation & Warehousing,16,128,12.5
NEBRASKA,2016,"Mining, Quarrying, & Oil and Gas Extraction",1,128,0.78125
NEBRASKA,2016,Accomodation & Food Services,1,128,0.78125
NEBRASKA,2016,Construction,33,128,25.78125
NEBRASKA,2016,Utilities,1,128,0.78125
NEBRASKA,2016,"Agriculture, Forestry, Fishing & Hunting",4,128,3.125
NEBRASKA,2017,Manufacturing,54,94,57.4468085106383
NEBRASKA,2017,Transportation & Warehousing,7,94,7.4468085106383
NEBRASKA,2017,"Mining, Quarrying, & Oil and Gas Extraction",1,94,1.06382978723404
NEBRASKA,2017,Accomodation & Food Services,2,94,2.12765957446809
NEBRASKA,2017,Construction,22,94,23.4042553191489
NEBRASKA,2017,"Agriculture, Forestry, Fishing & Hunting",8,94,8.51063829787234
NEBRASKA,2018,Manufacturing,74,126,58.7301587301587
NEBRASKA,2018,Transportation & Warehousing,14,126,11.1111111111111
NEBRASKA,2018,"Mining, Quarrying, & Oil and Gas Extraction",1,126,0.793650793650794
NEBRASKA,2018,Accomodation & Food Services,2,126,1.58730158730159
NEBRASKA,2018,Construction,28,126,22.2222222222222
NEBRASKA,2018,Utilities,1,126,0.793650793650794
NEBRASKA,2018,"Agriculture, Forestry, Fishing & Hunting",6,126,4.76190476190476
NEBRASKA,2019,Manufacturing,66,119,55.4621848739496
NEBRASKA,2019,Transportation & Warehousing,9,119,7.56302521008403
NEBRASKA,2019,Construction,31,119,26.0504201680672
NEBRASKA,2019,Utilities,2,119,1.68067226890756
NEBRASKA,2019,"Agriculture, Forestry, Fishing & Hunting",11,119,9.2436974789916
NEBRASKA,2020,Manufacturing,60,114,52.6315789473684
NEBRASKA,2020,Transportation & Warehousing,15,114,13.1578947368421
NEBRASKA,2020,Accomodation & Food Services,1,114,0.87719298245614
NEBRASKA,2020,Construction,32,114,28.0701754385965
NEBRASKA,2020,"Agriculture, Forestry, Fishing & Hunting",6,114,5.26315789473684
NEBRASKA,2021,Manufacturing,58,110,52.7272727272727
NEBRASKA,2021,Transportation & Warehousing,15,110,13.6363636363636
NEBRASKA,2021,"Mining, Quarrying, & Oil and Gas Extraction",2,110,1.81818181818182
NEBRASKA,2021,Accomodation & Food Services,2,110,1.81818181818182
NEBRASKA,2021,Construction,24,110,21.8181818181818
NEBRASKA,2021,"Agriculture, Forestry, Fishing & Hunting",9,110,8.18181818181818
NEBRASKA,2022,Manufacturing,41,63,65.0793650793651
NEBRASKA,2022,Transportation & Warehousing,8,63,12.6984126984127
NEBRASKA,2022,Accomodation & Food Services,1,63,1.58730158730159
NEBRASKA,2022,Construction,10,63,15.8730158730159
NEBRASKA,2022,Utilities,1,63,1.58730158730159
NEBRASKA,2022,"Agriculture, Forestry, Fishing & Hunting",2,63,3.17460317460317
NEVADA,2016,Transportation & Warehousing,1,1,100
NEVADA,2018,Transportation & Warehousing,6,9,66.6666666666667
NEVADA,2018,Construction,2,9,22.2222222222222
NEVADA,2018,"Agriculture, Forestry, Fishing & Hunting",1,9,11.1111111111111
NEVADA,2019,Transportation & Warehousing,2,2,100
NEVADA,2020,Transportation & Warehousing,2,2,100
NEVADA,2021,Transportation & Warehousing,1,1,100
NEVADA,2022,Transportation & Warehousing,1,3,33.3333333333333
NEVADA,2022,Construction,2,3,66.6666666666667
NEW HAMPSHIRE,2015,Manufacturing,16,29,55.1724137931035
NEW HAMPSHIRE,2015,Transportation & Warehousing,3,29,10.3448275862069
NEW HAMPSHIRE,2015,Construction,9,29,31.0344827586207
NEW HAMPSHIRE,2015,Utilities,1,29,3.44827586206897
NEW HAMPSHIRE,2016,Manufacturing,18,29,62.0689655172414
NEW HAMPSHIRE,2016,Transportation & Warehousing,2,29,6.89655172413793
NEW HAMPSHIRE,2016,Construction,6,29,20.6896551724138
NEW HAMPSHIRE,2016,Utilities,2,29,6.89655172413793
NEW HAMPSHIRE,2016,"Agriculture, Forestry, Fishing & Hunting",1,29,3.44827586206897
NEW HAMPSHIRE,2017,Manufacturing,21,32,65.625
NEW HAMPSHIRE,2017,Transportation & Warehousing,4,32,12.5
NEW HAMPSHIRE,2017,Accomodation & Food Services,1,32,3.125
NEW HAMPSHIRE,2017,Construction,5,32,15.625
NEW HAMPSHIRE,2017,Utilities,1,32,3.125
NEW HAMPSHIRE,2018,Manufacturing,22,37,59.4594594594595
NEW HAMPSHIRE,2018,Transportation & Warehousing,4,37,10.8108108108108
NEW HAMPSHIRE,2018,Accomodation & Food Services,3,37,8.10810810810811
NEW HAMPSHIRE,2018,Construction,6,37,16.2162162162162
NEW HAMPSHIRE,2018,Utilities,1,37,2.7027027027027
NEW HAMPSHIRE,2018,"Agriculture, Forestry, Fishing & Hunting",1,37,2.7027027027027
NEW HAMPSHIRE,2019,Manufacturing,19,37,51.3513513513514
NEW HAMPSHIRE,2019,Transportation & Warehousing,1,37,2.7027027027027
NEW HAMPSHIRE,2019,Accomodation & Food Services,1,37,2.7027027027027
NEW HAMPSHIRE,2019,Construction,15,37,40.5405405405405
NEW HAMPSHIRE,2019,Utilities,1,37,2.7027027027027
NEW HAMPSHIRE,2020,Manufacturing,16,35,45.7142857142857
NEW HAMPSHIRE,2020,Transportation & Warehousing,9,35,25.7142857142857
NEW HAMPSHIRE,2020,Accomodation & Food Services,1,35,2.85714285714286
NEW HAMPSHIRE,2020,Construction,6,35,17.1428571428571
NEW HAMPSHIRE,2020,Utilities,1,35,2.85714285714286
NEW HAMPSHIRE,2020,"Agriculture, Forestry, Fishing & Hunting",2,35,5.71428571428571
NEW HAMPSHIRE,2021,Manufacturing,33,55,60
NEW HAMPSHIRE,2021,Transportation & Warehousing,5,55,9.09090909090909
NEW HAMPSHIRE,2021,Accomodation & Food Services,2,55,3.63636363636364
NEW HAMPSHIRE,2021,Construction,15,55,27.2727272727273
NEW HAMPSHIRE,2022,Manufacturing,7,24,29.1666666666667
NEW HAMPSHIRE,2022,Transportation & Warehousing,3,24,12.5
NEW HAMPSHIRE,2022,Accomodation & Food Services,3,24,12.5
NEW HAMPSHIRE,2022,Construction,8,24,33.3333333333333
NEW HAMPSHIRE,2022,Utilities,2,24,8.33333333333333
NEW HAMPSHIRE,2022,"Agriculture, Forestry, Fishing & Hunting",1,24,4.16666666666667
NEW JERSEY,2015,Manufacturing,75,161,46.583850931677
NEW JERSEY,2015,Transportation & Warehousing,33,161,20.4968944099379
NEW JERSEY,2015,Accomodation & Food Services,5,161,3.1055900621118
NEW JERSEY,2015,Construction,39,161,24.2236024844721
NEW JERSEY,2015,Utilities,7,161,4.34782608695652
NEW JERSEY,2015,"Agriculture, Forestry, Fishing & Hunting",2,161,1.24223602484472
NEW JERSEY,2016,Manufacturing,66,152,43.421052631579
NEW JERSEY,2016,Transportation & Warehousing,31,152,20.3947368421053
NEW JERSEY,2016,"Mining, Quarrying, & Oil and Gas Extraction",1,152,0.657894736842105
NEW JERSEY,2016,Accomodation & Food Services,2,152,1.31578947368421
NEW JERSEY,2016,Construction,43,152,28.2894736842105
NEW JERSEY,2016,Utilities,7,152,4.60526315789474
NEW JERSEY,2016,"Agriculture, Forestry, Fishing & Hunting",2,152,1.31578947368421
NEW JERSEY,2017,Manufacturing,72,148,48.6486486486487
NEW JERSEY,2017,Transportation & Warehousing,39,148,26.3513513513514
NEW JERSEY,2017,Accomodation & Food Services,6,148,4.05405405405405
NEW JERSEY,2017,Construction,29,148,19.5945945945946
NEW JERSEY,2017,Utilities,2,148,1.35135135135135
NEW JERSEY,2018,Manufacturing,83,162,51.2345679012346
NEW JERSEY,2018,Transportation & Warehousing,34,162,20.9876543209877
NEW JERSEY,2018,Accomodation & Food Services,8,162,4.93827160493827
NEW JERSEY,2018,Construction,33,162,20.3703703703704
NEW JERSEY,2018,Utilities,4,162,2.46913580246914
NEW JERSEY,2019,Manufacturing,83,172,48.2558139534884
NEW JERSEY,2019,Transportation & Warehousing,41,172,23.8372093023256
NEW JERSEY,2019,Accomodation & Food Services,5,172,2.90697674418605
NEW JERSEY,2019,Construction,36,172,20.9302325581395
NEW JERSEY,2019,Utilities,6,172,3.48837209302326
NEW JERSEY,2019,"Agriculture, Forestry, Fishing & Hunting",1,172,0.581395348837209
NEW JERSEY,2020,Manufacturing,61,137,44.5255474452555
NEW JERSEY,2020,Transportation & Warehousing,22,137,16.0583941605839
NEW JERSEY,2020,Accomodation & Food Services,3,137,2.18978102189781
NEW JERSEY,2020,Construction,42,137,30.6569343065693
NEW JERSEY,2020,Utilities,7,137,5.10948905109489
NEW JERSEY,2020,"Agriculture, Forestry, Fishing & Hunting",2,137,1.45985401459854
NEW JERSEY,2021,Manufacturing,49,116,42.2413793103448
NEW JERSEY,2021,Transportation & Warehousing,30,116,25.8620689655172
NEW JERSEY,2021,"Mining, Quarrying, & Oil and Gas Extraction",3,116,2.58620689655172
NEW JERSEY,2021,Accomodation & Food Services,10,116,8.62068965517242
NEW JERSEY,2021,Construction,24,116,20.6896551724138
NEW JERSEY,2022,Manufacturing,39,104,37.5
NEW JERSEY,2022,Transportation & Warehousing,27,104,25.9615384615385
NEW JERSEY,2022,Accomodation & Food Services,7,104,6.73076923076923
NEW JERSEY,2022,Construction,28,104,26.9230769230769
NEW JERSEY,2022,Utilities,2,104,1.92307692307692
NEW JERSEY,2022,"Agriculture, Forestry, Fishing & Hunting",1,104,0.961538461538461
NEW MEXICO,2015,Manufacturing,1,3,33.3333333333333
NEW MEXICO,2015,Transportation & Warehousing,2,3,66.6666666666667
NEW MEXICO,2016,Transportation & Warehousing,1,2,50
NEW MEXICO,2016,Construction,1,2,50
NEW MEXICO,2017,"Mining, Quarrying, & Oil and Gas Extraction",1,1,100
NEW MEXICO,2018,Transportation & Warehousing,1,3,33.3333333333333
NEW MEXICO,2018,"Mining, Quarrying, & Oil and Gas Extraction",1,3,33.3333333333333
NEW MEXICO,2018,Construction,1,3,33.3333333333333
NEW MEXICO,2019,Transportation & Warehousing,2,3,66.6666666666667
NEW MEXICO,2019,Accomodation & Food Services,1,3,33.3333333333333
NEW MEXICO,2020,Construction,1,1,100
NEW MEXICO,2021,Construction,1,2,50
NEW MEXICO,2021,Utilities,1,2,50
NEW MEXICO,2022,Transportation & Warehousing,1,2,50
NEW MEXICO,2022,Accomodation & Food Services,1,2,50
NEW YORK,2015,Manufacturing,145,313,46.3258785942492
NEW YORK,2015,Transportation & Warehousing,38,313,12.1405750798722
NEW YORK,2015,"Mining, Quarrying, & Oil and Gas Extraction",1,313,0.319488817891374
NEW YORK,2015,Accomodation & Food Services,13,313,4.15335463258786
NEW YORK,2015,Construction,101,313,32.2683706070288
NEW YORK,2015,Utilities,10,313,3.19488817891374
NEW YORK,2015,"Agriculture, Forestry, Fishing & Hunting",5,313,1.59744408945687
NEW YORK,2016,Manufacturing,121,297,40.7407407407407
