state,industry_name,total_emp,all_emp_tot,pct_emp
Indiana,"Mining, Quarrying, & Oil and Gas Extraction",539806,107745323,0.5010017929038089
Indiana,Construction,13603910,107745323,12.625986559063914
Indiana,Manufacturing,50711212,107745323,47.06581277778526
Iowa,Transportation & Warehousing,6632895,49463340,13.409719198097015
Iowa,Construction,7657033,49463340,15.48021827883034
Iowa,Utilities,605922,49463340,1.224992085047229
Iowa,Manufacturing,21035080,49463340,42.52660657367658
Iowa,Accomodation & Food Services,11371904,49463340,22.990570390111138
Iowa,"Agriculture, Forestry, Fishing & Hunting",1942189,49463340,3.926522147513694
Iowa,"Mining, Quarrying, & Oil and Gas Extraction",218317,49463340,0.441371326723994
Kansas,Transportation & Warehousing,5800992,40612505,14.283758167589022
Kansas,Accomodation & Food Services,10463441,40612505,25.76408670186683
Kansas,"Agriculture, Forestry, Fishing & Hunting",1197640,40612505,2.9489439274922833
Kansas,Utilities,800625,40612505,1.9713755652353875
Kansas,Construction,6061120,40612505,14.924270246319452
Kansas,"Mining, Quarrying, & Oil and Gas Extraction",641891,40612505,1.5805255056293623
Kansas,Manufacturing,15646796,40612505,38.527039885867666
Kentucky,"Agriculture, Forestry, Fishing & Hunting",831954,61673383,1.3489676737856264
Kentucky,Utilities,1207770,61673383,1.9583326570556379
Kentucky,Transportation & Warehousing,11316338,61673383,18.34881994392946
Kentucky,Accomodation & Food Services,16150256,61673383,26.186752233131106
Kentucky,Construction,7560796,61673383,12.259415054303085
Kentucky,"Mining, Quarrying, & Oil and Gas Extraction",918573,61673383,1.4894156203495437
Kentucky,Manufacturing,23687696,61673383,38.40829681744554
Louisiana,Manufacturing,12990844,58356844,22.261046193656394
Louisiana,Transportation & Warehousing,7756006,58356844,13.290653620679008
Louisiana,Accomodation & Food Services,18645069,58356844,31.95009826096833
Louisiana,Utilities,1267935,58356844,2.172727161187812
Louisiana,Construction,13600753,58356844,23.306183247332566
Louisiana,"Agriculture, Forestry, Fishing & Hunting",867885,58356844,1.48720345466249
Louisiana,"Mining, Quarrying, & Oil and Gas Extraction",3228352,58356844,5.532088061513401
Maine,Manufacturing,5547243,16771327,33.075754828464085
Maine,Transportation & Warehousing,1980944,16771327,11.811492316618715
Maine,Construction,2936527,16771327,17.509210809615723
Maine,"Agriculture, Forestry, Fishing & Hunting",698615,16771327,4.1655320416804225
Maine,Utilities,281609,16771327,1.6791098283397612
Maine,Accomodation & Food Services,5305280,16771327,31.633036551013525
Maine,"Mining, Quarrying, & Oil and Gas Extraction",21109,16771327,0.1258636242677756
Maryland,Transportation & Warehousing,9898804,58301434,16.978662994807298
Maryland,Accomodation & Food Services,20925226,58301434,35.891443081828825
Maryland,Utilities,945030,58301434,1.6209378314776959
Maryland,Construction,15461054,58301434,26.51916589221459
Maryland,"Agriculture, Forestry, Fishing & Hunting",543440,58301434,0.932121155030252
Maryland,"Mining, Quarrying, & Oil and Gas Extraction",112424,58301434,0.19283230666333182
Maryland,Manufacturing,10415456,58301434,17.864836737978006
Massachusetts,Transportation & Warehousing,10102211,78605172,12.851840079937743
Massachusetts,Accomodation & Food Services,27545177,78605172,35.04244860630799
Massachusetts,Utilities,1462844,78605172,1.8610022251462028
Massachusetts,Construction,15317723,78605172,19.486914932264256
Massachusetts,"Agriculture, Forestry, Fishing & Hunting",927364,78605172,1.1797747863206762
Massachusetts,"Mining, Quarrying, & Oil and Gas Extraction",91041,78605172,0.11582062310098373
Massachusetts,Manufacturing,23158812,78605172,29.462198746922148
Michigan,Transportation & Warehousing,14882958,129383838,11.502949850660636
Michigan,Accomodation & Food Services,34938579,129383838,27.00382021439185
Michigan,"Agriculture, Forestry, Fishing & Hunting",2995483,129383838,2.3151910209990834
Michigan,Utilities,2143806,129383838,1.6569349256744106
Michigan,Construction,16328788,129383838,12.620423271104386
Michigan,Manufacturing,57576199,129383838,44.500302271138374
Michigan,"Mining, Quarrying, & Oil and Gas Extraction",518025,129383838,0.4003784460312578
Minnesota,Transportation & Warehousing,10211713,78041542,13.084970822334597
Minnesota,Accomodation & Food Services,20975155,78041542,26.876909992373037
Minnesota,"Agriculture, Forestry, Fishing & Hunting",2136586,78041542,2.737754720428256
Minnesota,Construction,12301350,78041542,15.762566557180532
Minnesota,Utilities,1319177,78041542,1.6903522998046348
Minnesota,Manufacturing,30546310,78041542,39.14108975447974
Minnesota,"Mining, Quarrying, & Oil and Gas Extraction",551251,78041542,0.7063558533992063
Mississippi,Utilities,895655,37788137,2.3702015264737715
Mississippi,Manufacturing,13870894,37788137,36.70700675188089
Mississippi,Transportation & Warehousing,5296308,37788137,14.015795486292431
Mississippi,Accomodation & Food Services,11795985,37788137,31.216106261073417
Mississippi,"Agriculture, Forestry, Fishing & Hunting",1153704,37788137,3.053085152094161
Mississippi,Construction,4410866,37788137,11.672620960382355
Mississippi,"Mining, Quarrying, & Oil and Gas Extraction",364725,37788137,0.965183861802978
Missouri,Manufacturing,25923852,77163279,33.59609951256737
Missouri,Transportation & Warehousing,11321256,77163279,14.671818184398308
Missouri,Accomodation & Food Services,24168520,77163279,31.321271352400665
Missouri,Construction,12394896,77163279,16.063205401107954
Missouri,Utilities,1723608,77163279,2.2337153401684757
Missouri,"Agriculture, Forestry, Fishing & Hunting",1240015,77163279,1.6070014339333611
Missouri,"Mining, Quarrying, & Oil and Gas Extraction",391132,77163279,0.5068887754238645
Montana,Utilities,318288,13130800,2.4239802601517044
Montana,Transportation & Warehousing,1445454,13130800,11.008118317238859
Montana,Accomodation & Food Services,5124244,13130800,39.024613884911815
Montana,Construction,3071424,13130800,23.3909891248058
Montana,"Agriculture, Forestry, Fishing & Hunting",576860,13130800,4.39318244128309
Montana,Manufacturing,1965410,13130800,14.967937977884057
Montana,"Mining, Quarrying, & Oil and Gas Extraction",629120,13130800,4.791177993724678
Nebraska,Transportation & Warehousing,4364752,28473111,15.329382166915304
Nebraska,Accomodation & Food Services,7232347,28473111,25.400620957787158
Nebraska,Manufacturing,9508932,28473111,33.39618210317798
Nebraska,Utilities,747153,28473111,2.6240652101556448
Nebraska,Construction,5119482,28473111,17.98005844882914
Nebraska,"Agriculture, Forestry, Fishing & Hunting",1402156,28473111,4.924491742402156
Nebraska,"Mining, Quarrying, & Oil and Gas Extraction",98289,28473111,0.3451993707326186
Nevada,Transportation & Warehousing,7168138,51613340,13.888149846531924
Nevada,Accomodation & Food Services,28479534,51613340,55.17863017584214
Nevada,"Agriculture, Forestry, Fishing & Hunting",414430,51613340,0.8029513300243697
Nevada,Utilities,508684,51613340,0.9855669096400272
Nevada,Construction,8511714,51613340,16.49130631732029
Nevada,"Mining, Quarrying, & Oil and Gas Extraction",1387690,51613340,2.6886266224972073
Nevada,Manufacturing,5143150,51613340,9.964768798144046
New Hampshire,Transportation & Warehousing,1764929,16973141,10.398364097723574
New Hampshire,"Agriculture, Forestry, Fishing & Hunting",197957,16973141,1.1662956196498926
New Hampshire,Construction,2697105,16973141,15.890429473248352
New Hampshire,Manufacturing,6616527,16973141,38.9823368579805
New Hampshire,Utilities,197873,16973141,1.165800720090642
New Hampshire,Accomodation & Food Services,5444592,16973141,32.07769263214157
New Hampshire,"Mining, Quarrying, & Oil and Gas Extraction",54158,16973141,0.3190805991654697
New Jersey,Transportation & Warehousing,20950992,90750934,23.08625495799305
New Jersey,Accomodation & Food Services,28377425,90750934,31.269567980424313
New Jersey,Utilities,1791781,90750934,1.9743940045840191
New Jersey,Construction,15175543,90750934,16.722189327550062
New Jersey,"Agriculture, Forestry, Fishing & Hunting",1066014,90750934,1.17465898477695
New Jersey,"Mining, Quarrying, & Oil and Gas Extraction",133353,90750934,0.14694394219678222
New Jersey,Manufacturing,23255826,90750934,25.625990802474824
New Mexico,Transportation & Warehousing,2379340,22116458,10.758232624772015
New Mexico,Accomodation & Food Services,8534193,22116458,38.58752156425771
